Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Print Placement,Cost per item,Status
kaseem T-Shirt 1,kaseem - one - Black T-Shirt,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, T-Shirt",TRUE,Size,XS,,,,,kstephTOP-1-1-XS,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,REPLACE,1,,FALSE,,,,,,,,,,,,,,,,,oz,,Black T-Shirt 1 placement,12,active
kaseem T-Shirt 1,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-1-1-S,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 1,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-1-1-M,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 1,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-1-1-L,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 1,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-1-1-XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 1,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-1-1-XXL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,14,active
kaseem T-Shirt 1,,Merch By MerchBooth,,,,,,,3XL,,,,,kstephTOP-1-1-3XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,15,active
kaseem T-Shirt 1,,Merch By MerchBooth,,,,,,,4XL,,,,,kstephTOP-1-1-4XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,16,active
kaseem T-Shirt 1,,Merch By MerchBooth,,,,,,,5XL,,,,,kstephTOP-1-1-5XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,17,active
kaseem Long Sleeve T 1,kaseem - one - Black Long Sleeve T,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Long-Sleeve",TRUE,Size,XS,,,,,kstephTOP-1-2-XS,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,REPLACE,1,,FALSE,,,,,,,,,,,,,,,,,oz,,Black Long Sleeve 1 Placement,16,active
kaseem Long Sleeve T 1,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-1-2-S,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,16,active
